School ID - NCES Assigned [Public School] Latest available year,School Name,State Name [Public School] Latest available year,Grade 12 offered [Public School] 2018-19,Grade 13 Offered [Public School] 2018-19,Ungraded offered [Public School] 2018-19,Adult Education Offered [Public School] 2018-19,No Grades Offered [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Total Students All Grades (Includes AE) [Public School] 2018-19,Free Lunch Eligible [Public School] 2018-19,Direct Certification [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Grades 9-12 Students [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19
480798000127,ALTO H S,Texas,1-Yes,2-No,2-No,2-No,2-No,192,192,122,–,0,122,192,19.37,9.91
480798007548,ALTO MIDDLE,Texas,2-No,2-No,2-No,2-No,2-No,201,201,136,–,0,136,†,16.89,11.9
481179005875,ALTON BOWEN EL,Texas,2-No,2-No,2-No,2-No,2-No,387,387,203,–,18,221,†,31.84,12.15
480789000119,ALTON BOYD EL,Texas,2-No,2-No,2-No,2-No,2-No,635,635,395,–,58,453,†,54.98,11.55
481128000602,ALTON EL,Texas,2-No,2-No,2-No,2-No,2-No,500,500,284,–,21,305,†,37,13.51
483104003492,ALTON EL,Texas,2-No,2-No,2-No,2-No,2-No,436,436,413,–,0,413,†,28.36,15.37
483104009505,ALTON MEMORIAL J H,Texas,2-No,2-No,2-No,2-No,2-No,908,908,828,–,0,828,†,59.84,15.17
480001106201,ALVARADO EL-NORTH,Texas,2-No,2-No,2-No,2-No,2-No,372,372,216,–,20,236,†,24.59,15.13
480001100130,ALVARADO EL-SOUTH,Texas,2-No,2-No,2-No,2-No,2-No,353,353,250,–,25,275,†,24,14.71
480001100128,ALVARADO H S,Texas,1-Yes,2-No,2-No,2-No,2-No,1105,1105,505,–,89,594,1105,70.25,15.73
480001107367,ALVARADO INT,Texas,2-No,2-No,2-No,2-No,2-No,857,857,490,–,77,567,†,51.37,16.68
480001100129,ALVARADO J H,Texas,2-No,2-No,2-No,2-No,2-No,584,584,318,–,57,375,0,33.72,17.32
482967003326,ALVAREZ EL,Texas,2-No,2-No,2-No,2-No,2-No,403,403,368,–,0,368,†,27.53,14.64
480809000131,ALVIN EL,Texas,2-No,2-No,2-No,2-No,2-No,497,497,306,–,27,333,†,36.28,13.7
480809000132,ALVIN H S,Texas,1-Yes,2-No,2-No,2-No,2-No,2771,2771,1374,–,182,1556,2766,178.32,15.54
